frame_nmr,car_id,car_bbox,car_class,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
471,16,[1513.0689697265625 783.79248046875 2131.639404296875 1427.7900390625],car,[1734.0758056640625 1378.18212890625 1875.9874267578125 1424.9072265625],0.8702145218849182,@GGSWS,0.40828968870377796
491,22,[690.0118408203125 766.564208984375 1104.09033203125 1121.689697265625],car,[850.9537353515625 992.37841796875 944.5977783203125 1030.18310546875],0.26643607020378113,K64DHV,0.19810828263516672
504,22,[670.8175659179688 787.362548828125 1091.92529296875 1156.1553955078125],car,[817.2986450195312 1021.3546142578125 927.8081665039062 1063.8519287109375],0.4011751711368561,AK64DHV,0.5542035492314137
507,22,[661.6420288085938 796.1469116210938 1089.3388671875 1164.8193359375],car,[824.9912109375 1028.51171875 925.5361328125 1073.64111328125],0.4126224219799042,4KE4DHV,0.6793680292854445
515,22,[644.235595703125 811.1722412109375 1074.066650390625 1187.6207275390625],car,[809.174072265625 1051.307373046875 915.1640625 1092.671630859375],0.28118330240249634,AKE4DMY,0.22256624447237391
519,22,[636.9905395507812 819.5560913085938 1062.0992431640625 1200.6376953125],car,[797.4285888671875 1065.2958984375 914.7430419921875 1107.65576171875],0.4540958106517792,AKEDV,0.558952026753835
520,22,[634.9136962890625 821.2332153320312 1060.88916015625 1203.730224609375],car,[799.4478759765625 1065.73681640625 912.6072998046875 1106.10693359375],0.4733828902244568,AKE4DHV,0.3943926705612537
522,22,[630.504150390625 825.1804809570312 1057.6390380859375 1211.8363037109375],car,[792.2352294921875 1075.315185546875 907.3203125 1115.739013671875],0.5059155821800232,AK64DMV,0.7203798481382679
523,22,[629.6224975585938 827.0735473632812 1058.0595703125 1214.1324462890625],car,[785.2113647460938 1078.548095703125 908.9716186523438 1117.0986328125],0.2853347659111023,AK64DHV,0.40282509570082325
524,22,[628.0848999023438 830.00390625 1056.2451171875 1218.43896484375],car,[785.5731201171875 1081.652099609375 899.0433349609375 1119.818603515625],0.4595821499824524,AR64DMV,0.38452094081956767
525,22,[625.76171875 831.4080810546875 1056.1314697265625 1222.3226318359375],car,[785.452392578125 1083.2880859375 898.1588134765625 1123.3896484375],0.6005535125732422,AK64DHV,0.5511212982789447
526,22,[623.9949951171875 832.6253051757812 1059.5084228515625 1224.39013671875],car,[784.242431640625 1084.4403076171875 899.747314453125 1125.0098876953125],0.48210790753364563,AK64DHV,0.5551486233788843
527,22,[621.8823852539062 835.7738037109375 1055.96826171875 1229.274169921875],car,[785.2169189453125 1089.9925537109375 901.5494384765625 1129.6473388671875],0.2603116035461426,AKE4DHV,0.578158074700496
528,22,[621.0094604492188 838.1495361328125 1055.0047607421875 1232.88525390625],car,[779.640869140625 1092.1497802734375 904.8936767578125 1133.5328369140625],0.37124115228652954,AKE4DHV,0.37359898033905387
530,22,[617.9409790039062 843.7799072265625 1056.2545166015625 1237.97509765625],car,[785.21728515625 1100.114501953125 894.519287109375 1137.089599609375],0.4423467814922333,AK64DHV,0.36430531754446444
531,22,[615.6030883789062 847.0345458984375 1053.7059326171875 1242.5706787109375],car,[777.5750732421875 1105.8702392578125 887.4666748046875 1141.1317138671875],0.49087104201316833,AK64@HV,0.2614810172950957
532,22,[614.3756103515625 847.9523315429688 1051.29150390625 1245.225830078125],car,[768.96533203125 1106.743408203125 893.9974365234375 1145.370849609375],0.646568775177002,AKE4DMV,0.2522706565756752
533,22,[614.0108642578125 854.05615234375 1049.76611328125 1249.2242431640625],car,[765.2794189453125 1109.9503173828125 894.2406005859375 1149.7879638671875],0.7009031772613525,AK64DHV,0.5748456105466593
534,22,[610.9825439453125 857.7078857421875 1050.5863037109375 1253.5313720703125],car,[764.54345703125 1114.258056640625 888.2041015625 1152.239501953125],0.6855393648147583,AK64DMV,0.4007057446276258
535,22,[609.1396484375 859.2504272460938 1053.0384521484375 1256.233642578125],car,[772.3375244140625 1114.850341796875 883.6483154296875 1155.385986328125],0.7676420211791992,AK64DHV,0.2521793779743318
536,22,[607.0391845703125 861.8348999023438 1048.552978515625 1260.7222900390625],car,[776.037109375 1118.640625 882.383544921875 1158.798828125],0.4708430767059326,AK64DHV,0.692625738877527
537,22,[603.9940185546875 864.5133056640625 1046.5985107421875 1264.4847412109375],car,[765.7767333984375 1121.5284423828125 885.7042236328125 1162.6173095703125],0.8152486681938171,AKE4DMV,0.4888533820902165
538,22,[602.934814453125 865.3617553710938 1049.5240478515625 1266.9183349609375],car,[759.5554809570312 1123.5228271484375 887.0755004882812 1165.1619873046875],0.7582967281341553,AK64DMV,0.33014218413787055
538,487,[1527.3140869140625 824.8311767578125 1928.1826171875 1133.529052734375],car,[1670.860107421875 1031.230712890625 1793.87158203125 1069.931396484375],0.4443887770175934,EFLODZT,0.22971076778753344
539,22,[600.723388671875 868.8394165039062 1047.00244140625 1271.522216796875],car,[758.409912109375 1128.3824462890625 887.0093994140625 1170.6605224609375],0.7677443623542786,AKF64DHV,0.6706073149737265
539,487,[1526.406982421875 826.2999267578125 1930.0240478515625 1135.749755859375],car,[1666.8193359375 1034.15966796875 1788.455078125 1071.18701171875],0.6628919839859009,EFLODZT,0.29193637325557015
540,22,[599.3430786132812 872.14697265625 1043.2259521484375 1276.1783447265625],car,[757.1377563476562 1132.284423828125 885.2017211914062 1173.633544921875],0.7812888026237488,AK64DMV,0.7689805756431547
540,487,[1526.6126708984375 829.0009155273438 1930.4930419921875 1138.86279296875],car,[1666.039306640625 1036.432861328125 1796.296630859375 1072.618896484375],0.3498353362083435,EEFLDDZT,0.23792751893293226
541,22,[598.0955810546875 873.4590454101562 1042.656494140625 1279.6898193359375],car,[761.154541015625 1135.277587890625 881.380859375 1175.75634765625],0.8096017241477966,AK64DMV,0.08547736338553547
542,22,[595.9686889648438 876.2643432617188 1043.826904296875 1283.6944580078125],car,[756.3323974609375 1138.9716796875 879.3372802734375 1182.001953125],0.8379969000816345,AK64DHV,0.5093534473259151
542,487,[1527.39306640625 831.7067260742188 1930.80419921875 1145.6956787109375],car,[1669.125244140625 1043.093017578125 1794.631591796875 1081.415283203125],0.5031991004943848,EEFDOZT,0.18361961617926933
543,22,[593.663818359375 879.87890625 1043.7047119140625 1287.612548828125],car,[756.3173828125 1141.9022216796875 880.347900390625 1185.0267333984375],0.8402847647666931,AK64DMV,0.43323798700617827
543,487,[1532.1556396484375 833.3328857421875 1933.380859375 1151.1634521484375],car,[1667.408203125 1042.5972900390625 1801.5595703125 1085.1180419921875],0.6740912199020386,EF0DZIC,0.10077575372820907
544,22,[592.08935546875 881.29833984375 1045.5189208984375 1289.743896484375],car,[752.10302734375 1146.412353515625 881.3543701171875 1187.386474609375],0.7712743282318115,AK64DHV,0.4191611317946701
544,487,[1530.91845703125 835.22314453125 1933.9373779296875 1154.3154296875],car,[1673.1064453125 1049.482666015625 1788.35791015625 1088.182373046875],0.7051180005073547,EFIDZT,0.37025722142066536
545,22,[589.2774658203125 886.1869506835938 1045.75537109375 1294.0655517578125],car,[753.08203125 1148.3441162109375 878.5875244140625 1188.7816162109375],0.7669670581817627,AK64DHV,0.4611527532053391
545,487,[1529.734375 837.8193359375 1935.339599609375 1158.76904296875],car,[1674.159912109375 1052.009765625 1790.765869140625 1090.52001953125],0.6559845209121704,EFLDZT,0.3368273703421367
546,22,[586.2763671875 889.1340942382812 1043.95849609375 1299.3134765625],car,[752.4654541015625 1151.963134765625 879.0859375 1194.893798828125],0.8002576231956482,AKE4DHV,0.4504477459605055
546,487,[1528.58642578125 840.2063598632812 1936.890869140625 1163.66552734375],car,[1672.964599609375 1052.8311767578125 1797.033447265625 1093.8411865234375],0.5191836357116699,EFLODZT,0.2163401326241874
547,22,[586.1193237304688 891.2228393554688 1043.400390625 1301.9327392578125],car,[750.6519165039062 1153.0750732421875 878.6686401367188 1197.2689208984375],0.8690366148948669,AK64DHV,0.685323586805099
547,487,[1528.1435546875 841.3973999023438 1937.2791748046875 1165.6700439453125],car,[1677.784423828125 1058.2366943359375 1792.71875 1095.9442138671875],0.6322939395904541,EFLODZI,0.4822525645208178
548,22,[582.1285400390625 893.7393798828125 1042.9261474609375 1307.2601318359375],car,[750.9044189453125 1157.7005615234375 880.4696044921875 1201.0091552734375],0.8793710470199585,AK64DHV,0.876870183683032
548,487,[1527.819580078125 842.8637084960938 1939.5975341796875 1169.379150390625],car,[1671.587890625 1057.602294921875 1795.2841796875 1100.181640625],0.8329400420188904,EFLDDZT,0.4153897349816058
549,487,[1525.326904296875 845.1171264648438 1939.515380859375 1173.8438720703125],car,[1670.9300537109375 1059.45849609375 1800.8526611328125 1104.46142578125],0.8423246741294861,EFLODZT,0.19260228396725076
549,22,[580.4103393554688 896.0918579101562 1042.661865234375 1310.5396728515625],car,[749.689697265625 1164.9385986328125 871.229736328125 1204.7967529296875],0.8253547549247742,AK64@MV,0.4512410253030849
550,487,[1528.5029296875 846.4456176757812 1939.9169921875 1176.008056640625],car,[1674.174560546875 1062.901123046875 1795.35693359375 1103.788330078125],0.8630563020706177,EF10DZT,0.5755346095192506
550,22,[579.4425659179688 897.00048828125 1041.222900390625 1313.240234375],car,[751.19384765625 1167.1688232421875 872.4716796875 1207.2335205078125],0.7912017107009888,ARE4DHV,0.47076201155186315
551,487,[1528.0723876953125 850.2334594726562 1940.8447265625 1179.7010498046875],car,[1676.060546875 1065.852294921875 1797.966796875 1106.271240234375],0.8601136207580566,EFIQDZT,0.15558131208873582
551,22,[577.3690185546875 900.52978515625 1044.068603515625 1318.4620361328125],car,[750.2628173828125 1170.5531005859375 874.1484375 1213.9027099609375],0.8324645757675171,AK64DMV,0.7514206456830929
552,22,[574.3193969726562 903.1519775390625 1039.03125 1322.273681640625],car,[747.7619018554688 1177.1455078125 878.8639526367188 1217.483642578125],0.8345842361450195,AK64DMV,0.38065953354774673
552,487,[1529.1829833984375 853.597900390625 1942.0625 1183.534912109375],car,[1676.4189453125 1069.473876953125 1800.0654296875 1109.727783203125],0.8089073896408081,EF10DZT,0.13188791433043742
553,22,[573.795166015625 904.3432006835938 1035.72216796875 1326.336181640625],car,[746.343505859375 1178.343017578125 867.166748046875 1218.507080078125],0.8223151564598083,AK64DHV,0.6738103869964002
553,487,[1529.135986328125 855.2274780273438 1942.7557373046875 1185.34130859375],car,[1679.76123046875 1071.86181640625 1803.28466796875 1111.021484375],0.7950716614723206,EF10DZT,0.5287398446762263
554,22,[572.1573486328125 907.5868530273438 1036.3509521484375 1330.373779296875],car,[750.15380859375 1181.2978515625 868.282958984375 1223.130859375],0.8410552740097046,AK64DMV,0.6129275817061105
554,487,[1525.6134033203125 857.4705200195312 1944.4415283203125 1188.2918701171875],car,[1676.123046875 1074.5771484375 1801.341796875 1115.4462890625],0.8237067461013794,EFODZI,0.29869477565827773
555,22,[569.6455078125 911.1302490234375 1039.1806640625 1336.0025634765625],car,[744.201416015625 1185.688232421875 868.7412109375 1227.617919921875],0.8363954424858093,AK64DMV,0.6875311895286073
555,487,[1526.105224609375 859.9822998046875 1945.3499755859375 1191.05810546875],car,[1677.144775390625 1080.424072265625 1803.379638671875 1118.704345703125],0.4980430006980896,EF10DZT,0.10273715459271031
556,22,[568.6280517578125 914.242431640625 1037.8740234375 1339.213134765625],car,[740.739990234375 1188.7889404296875 871.535400390625 1229.3421630859375],0.864711344242096,AK64DHV,0.3047188957325474
556,487,[1526.5604248046875 859.2776489257812 1945.4727783203125 1192.7210693359375],car,[1676.7001953125 1079.142578125 1808.80517578125 1119.7587890625],0.46180275082588196,EFLOZI,0.29526871046650155
557,22,[566.8314819335938 918.7138061523438 1040.0919189453125 1343.2943115234375],car,[737.0509033203125 1194.440185546875 868.6522216796875 1234.1533203125],0.8425544500350952,AKE4DHV,0.50765949308042
557,487,[1524.001708984375 861.5999145507812 1945.7666015625 1197.021728515625],car,[1681.825927734375 1085.1639404296875 1800.566650390625 1124.4561767578125],0.3613361418247223,EFO@ZI,0.1813919148392172
558,22,[564.9158935546875 921.176025390625 1040.54150390625 1347.97900390625],car,[736.44677734375 1199.55126953125 867.46142578125 1240.469482421875],0.8026325106620789,AK64DMV,0.5102104918285064
558,487,[1528.8388671875 865.458251953125 1946.6988525390625 1201.259765625],car,[1683.9598388671875 1090.8931884765625 1806.7623291015625 1128.7139892578125],0.3596555292606354,EFL0DZT,0.2778741012329826
559,22,[564.5226440429688 924.1422119140625 1041.4637451171875 1350.5867919921875],car,[734.4290161132812 1204.2943115234375 865.2251586914062 1243.1949462890625],0.6985710263252258,AKE4DMV,0.49739075187797593
559,487,[1528.765380859375 866.1915283203125 1947.0272216796875 1203.3834228515625],car,[1681.863037109375 1090.34130859375 1809.065185546875 1130.44775390625],0.31276026368141174,EFO)ZI,0.13265340727071134
560,22,[563.2844848632812 927.7738647460938 1037.5323486328125 1356.0335693359375],car,[732.4545288085938 1206.02587890625 860.7225952148438 1248.00390625],0.8275972604751587,AKE4DMV,0.33739418940475985
560,487,[1532.1884765625 869.9307250976562 1947.664306640625 1207.4208984375],car,[1682.1695556640625 1093.0615234375 1806.9288330078125 1132.92431640625],0.35470375418663025,EFODZT,0.2366423677546092
561,22,[560.015380859375 932.032958984375 1038.3199462890625 1360.8404541015625],car,[728.0906982421875 1209.0966796875 858.63232421875 1251.44384765625],0.7715234756469727,AK64DHV,0.5843621224625135
561,487,[1536.435546875 872.6115112304688 1949.6168212890625 1210.821533203125],car,[1683.273193359375 1096.206298828125 1806.67529296875 1135.979248046875],0.4836880564689636,EF10DZT,0.18670882842149886
562,22,[558.6710815429688 934.3734741210938 1039.937744140625 1364.3289794921875],car,[730.5963134765625 1211.58349609375 857.7144775390625 1253.5341796875],0.8618131875991821,AKE4DHV,0.8344657654254837
562,487,[1528.2740478515625 874.1956787109375 1950.67138671875 1211.724365234375],car,[1680.5831298828125 1096.595947265625 1807.8436279296875 1138.248779296875],0.7148410081863403,EFIO@ZT,0.15109510295887177
563,22,[556.9725341796875 936.8160400390625 1039.85400390625 1368.8436279296875],car,[729.78173828125 1216.5205078125 860.2347412109375 1259.267578125],0.8650920987129211,AK64DHV,0.7374453669862587
563,487,[1527.617431640625 877.2937622070312 1951.2205810546875 1215.1845703125],car,[1680.95458984375 1098.935302734375 1814.07666015625 1144.447021484375],0.5782691240310669,EF10DZT,0.16046666734467635
564,22,[554.6996459960938 940.8333740234375 1041.4208984375 1373.42822265625],car,[724.2628784179688 1221.990966796875 858.7656860351562 1264.309814453125],0.8708773851394653,AK64DHV,0.413986786991542
564,487,[1526.6837158203125 879.2138061523438 1953.2894287109375 1219.47509765625],car,[1674.98583984375 1100.854736328125 1817.82373046875 1148.482666015625],0.7247394919395447,EF10DZT,0.2163107360058029
565,22,[553.9827270507812 942.3049926757812 1042.1014404296875 1375.4720458984375],car,[727.3104248046875 1223.991455078125 858.7738037109375 1265.503662109375],0.864376425743103,AK64DHV,0.3009578805518738
565,487,[1526.8062744140625 880.8634643554688 1953.2269287109375 1221.0545654296875],car,[1681.97119140625 1106.1630859375 1814.67236328125 1148.448974609375],0.8063756227493286,EF10DZI,0.09348692657500612
566,22,[551.1906127929688 946.685546875 1042.45751953125 1380.2210693359375],car,[725.01220703125 1230.0482177734375 853.07958984375 1273.5311279296875],0.852318286895752,AK64DHV,0.2946899793661911
566,487,[1523.9833984375 882.40185546875 1955.6387939453125 1225.2650146484375],car,[1683.6748046875 1114.4990234375 1811.9990234375 1151.88916015625],0.6124163866043091,EFODZT,0.37734215950955297
567,22,[547.9251098632812 951.1908569335938 1041.020751953125 1384.443115234375],car,[723.035400390625 1235.2357177734375 853.0751953125 1278.1947021484375],0.8500903248786926,AK64DHV,0.9504690663873475
567,487,[1525.564208984375 887.3339233398438 1958.5126953125 1229.2408447265625],car,[1686.2802734375 1117.974853515625 1808.9921875 1157.225341796875],0.7327795028686523,EFLODZT,0.3834584919179818
568,22,[546.5149536132812 953.73291015625 1034.3912353515625 1387.2313232421875],car,[722.76904296875 1238.162841796875 853.5546875 1281.50390625],0.8511471748352051,AK64DHV,0.8554864784024316
568,487,[1524.5877685546875 889.6452026367188 1959.2109375 1231.6904296875],car,[1683.816650390625 1117.2147216796875 1814.051513671875 1160.7469482421875],0.8333750367164612,EFIQ@ZT,0.08340456935899163
569,22,[544.12939453125 958.840087890625 1030.8167724609375 1392.0596923828125],car,[721.5706787109375 1241.777099609375 851.9449462890625 1285.03759765625],0.8782892227172852,AK64DHV,0.7654555999055852
569,487,[1526.920166015625 891.7091674804688 1960.791015625 1236.4058837890625],car,[1679.081787109375 1119.92529296875 1815.553466796875 1164.6337890625],0.850851833820343,EF10OZT,0.18876728996734918
570,22,[542.2323608398438 960.9356079101562 1036.1007080078125 1399.5411376953125],car,[721.9718017578125 1247.297607421875 851.7869873046875 1289.966064453125],0.8773068189620972,AK64DMV,0.5381473475745829
570,487,[1527.2291259765625 896.9786376953125 1963.123291015625 1241.310546875],car,[1678.34716796875 1122.650634765625 1815.95654296875 1168.035400390625],0.866270899772644,EFIO@ZT,0.22365307759210404
571,22,[541.3153686523438 963.099853515625 1036.973876953125 1402.8551025390625],car,[720.4910888671875 1248.52880859375 855.5850830078125 1291.8251953125],0.8693007826805115,AK64DHV,0.29905313733713806
571,487,[1527.5816650390625 900.3641357421875 1963.9710693359375 1243.635986328125],car,[1685.800048828125 1127.3004150390625 1815.29296875 1168.7447509765625],0.8474897146224976,EF10DZT,0.32645488246095206
572,22,[539.4004516601562 967.3583374023438 1038.48291015625 1407.4915771484375],car,[715.2364501953125 1253.389892578125 852.5120849609375 1297.134521484375],0.8755457997322083,AK64DMV,0.729290183986722
572,487,[1527.45751953125 903.4180908203125 1965.5992431640625 1248.00927734375],car,[1689.074951171875 1130.32177734375 1817.144287109375 1171.469970703125],0.8378461599349976,EFODZT,0.39681492997385637
573,22,[537.8770751953125 970.0545043945312 1039.600830078125 1411.425537109375],car,[714.805908203125 1258.74072265625 852.333251953125 1301.1025390625],0.8476099371910095,AK64DMV,0.7741743916390971
573,487,[1528.9044189453125 907.2010498046875 1967.71923828125 1252.3563232421875],car,[1689.908203125 1135.4354248046875 1820.78564453125 1175.4710693359375],0.60467928647995,EFIDDZT,0.5644651175494593
574,22,[537.32421875 970.9442749023438 1038.48779296875 1413.941650390625],car,[712.8265991210938 1261.7374267578125 851.8695678710938 1305.7081298828125],0.8503992557525635,AKE4DMV,0.5663043513529165
574,487,[1528.583740234375 908.9744262695312 1968.1787109375 1254.4205322265625],car,[1683.605224609375 1133.993408203125 1822.5283203125 1178.673583984375],0.8155792951583862,EF10DZT,0.11752731047774724
575,22,[534.3513793945312 976.3134155273438 1036.6883544921875 1418.631103515625],car,[710.2930297851562 1266.7335205078125 849.6486206054688 1311.8216552734375],0.8347499966621399,AK64DMV,0.6414177762391611
575,487,[1528.8104248046875 912.10302734375 1968.8785400390625 1259.0076904296875],car,[1685.014404296875 1142.4970703125 1819.046630859375 1183.58251953125],0.7551413178443909,EFLODZT,0.13450450457325994
576,22,[530.8413696289062 981.8494262695312 1035.391845703125 1422.9605712890625],car,[708.6548461914062 1271.814697265625 846.7759399414062 1315.433349609375],0.8027992248535156,AK64DMV,0.770922725845588
576,487,[1529.3902587890625 916.4271240234375 1971.241455078125 1263.1982421875],car,[1689.634521484375 1147.291259765625 1816.065185546875 1188.58447265625],0.6497765183448792,EFLODZT,0.2819515185507822
577,22,[529.5724487304688 983.1471557617188 1035.5770263671875 1424.7021484375],car,[708.5494384765625 1274.314697265625 848.7603759765625 1317.489013671875],0.8739128112792969,AK64DMV,0.8244927407770141
577,487,[1531.7203369140625 918.5828857421875 1972.4215087890625 1266.404296875],car,[1690.456787109375 1147.889404296875 1818.601318359375 1191.089111328125],0.6848487257957458,EFLODZO,0.34061450409519556
578,22,[527.4051513671875 989.6298217773438 1033.76025390625 1428.3203125],car,[709.368896484375 1279.62158203125 846.84716796875 1322.44189453125],0.8723731637001038,AK64DMV,0.7676196509364043
578,487,[1534.1251220703125 922.1472778320312 1973.8961181640625 1271.23828125],car,[1691.69970703125 1152.117431640625 1825.35546875 1195.417236328125],0.8251112103462219,EF10DZO,0.35761397708421905
579,487,[1533.043701171875 925.5936279296875 1976.2034912109375 1274.926025390625],car,[1690.9071044921875 1156.3681640625 1822.2215576171875 1199.41162109375],0.8754159212112427,EFLOZT,0.09288750309680142
579,22,[524.6006469726562 994.5223388671875 1035.015869140625 1432.1475830078125],car,[707.4591064453125 1283.66455078125 846.8734130859375 1326.82470703125],0.8722216486930847,AK64DMV,0.7680128588848051
580,487,[1531.2255859375 927.1959228515625 1976.9547119140625 1277.2193603515625],car,[1689.74267578125 1160.0675048828125 1820.7626953125 1200.2740478515625],0.8659797310829163,EF10DZO,0.24676669482816865
580,22,[523.7259521484375 997.3585205078125 1032.719482421875 1433.7779541015625],car,[703.743896484375 1287.103515625 843.27197265625 1328.540283203125],0.8607087135314941,AK64DMV,0.846992885839461
581,22,[520.8919067382812 999.73095703125 1033.6976318359375 1434.4774169921875],car,[707.9534912109375 1291.98974609375 842.1444091796875 1336.2099609375],0.8630589246749878,AK64DMV,0.28388138859040746
581,487,[1530.6732177734375 930.51513671875 1977.9136962890625 1282.02392578125],car,[1691.7196044921875 1162.57177734375 1823.7630615234375 1206.4482421875],0.8590556383132935,EFODZT,0.19088269457227125
582,487,[1531.1712646484375 934.9536743164062 1980.1763916015625 1287.216552734375],car,[1687.218505859375 1165.383544921875 1831.63720703125 1211.941162109375],0.8538364171981812,EF10DZT,0.20256504305099166
582,22,[518.4317626953125 1003.26025390625 1034.8880615234375 1435.605224609375],car,[695.1932373046875 1298.260498046875 841.6185302734375 1342.840576171875],0.8394719362258911,AK64DMV,0.8772003794791953
583,487,[1531.22998046875 937.00830078125 1980.6456298828125 1290.0728759765625],car,[1686.9248046875 1167.432861328125 1826.9453125 1213.558837890625],0.8694058060646057,EFLODZT,0.2429305250640341
583,22,[516.8238525390625 1004.192626953125 1035.2177734375 1435.2503662109375],car,[699.11181640625 1299.990966796875 836.474365234375 1345.322509765625],0.8443815112113953,AK64DMV,0.6916039154891378
584,22,[513.514404296875 1009.2488403320312 1035.18115234375 1435.755615234375],car,[693.0858154296875 1306.171142578125 840.4530029296875 1348.1640625],0.8657823204994202,AK64DMV,0.5422066770197481
584,487,[1532.14697265625 941.0428466796875 1981.9525146484375 1295.7802734375],car,[1691.64453125 1174.93359375 1826.526123046875 1218.07470703125],0.8259644508361816,EFLODZI,0.3715530846400509
585,22,[509.89935302734375 1013.2298583984375 1033.190673828125 1436.1781005859375],car,[696.5574951171875 1311.10400390625 832.8289794921875 1354.033203125],0.8828208446502686,AK64DMV,0.7801808573590446
585,487,[1531.1470947265625 945.0750732421875 1983.7115478515625 1300.798583984375],car,[1695.337646484375 1180.6376953125 1827.975341796875 1224.709228515625],0.8471605777740479,EFLODZT,0.16567782658392308
586,22,[507.93377685546875 1015.4085693359375 1032.4375 1436.24609375],car,[694.86572265625 1312.930908203125 835.8232421875 1356.725830078125],0.8837398290634155,AK64DMV,0.8220152291370965
586,487,[1530.6307373046875 946.728515625 1984.341796875 1302.7813720703125],car,[1695.39111328125 1183.2314453125 1827.12158203125 1225.33984375],0.838498055934906,EFLODZI,0.3943630420131537
587,22,[506.9154968261719 1020.3097534179688 1032.068115234375 1436.20458984375],car,[692.432861328125 1318.6973876953125 831.0892333984375 1361.4266357421875],0.8734410405158997,AK64DHV,0.7625844098199493
587,487,[1530.648193359375 951.1030883789062 1985.3658447265625 1308.050537109375],car,[1693.365478515625 1185.812744140625 1829.843017578125 1228.02685546875],0.8474535346031189,EFODZT,0.5117946328632785
588,487,[1532.399658203125 954.0086669921875 1986.720947265625 1313.1036376953125],car,[1693.058349609375 1191.29931640625 1832.686279296875 1233.5341796875],0.8643333911895752,EODZT,0.7860239205062115
588,22,[505.69970703125 1025.011474609375 1030.96484375 1435.9432373046875],car,[692.4110107421875 1325.069091796875 832.2105712890625 1371.268310546875],0.8520327210426331,AK64DMV,0.9335794394149294
589,487,[1534.0426025390625 955.6650390625 1986.998779296875 1315.5927734375],car,[1691.28759765625 1192.8743896484375 1833.1689453125 1236.2728271484375],0.8761937618255615,EFODZT,0.3451112092596678
589,22,[504.3658752441406 1028.049072265625 1030.3990478515625 1435.667236328125],car,[689.7470703125 1327.6015625 828.250244140625 1373.12451171875],0.8512457609176636,AK64DMV,0.5988598471650728
590,487,[1535.2509765625 960.4444580078125 1988.53564453125 1318.8876953125],car,[1694.2119140625 1197.24658203125 1835.34375 1241.97705078125],0.8585354089736938,EFLODZT,0.3507689953077002
590,22,[501.7851867675781 1031.45703125 1030.5064697265625 1436.3736572265625],car,[688.39501953125 1332.888916015625 830.361083984375 1377.068115234375],0.8231630921363831,AK64DHV,0.6383907258873347
591,22,[500.4576721191406 1035.8179931640625 1028.7423095703125 1436.197509765625],car,[687.1619873046875 1339.82275390625 822.3507080078125 1382.12841796875],0.8824007511138916,AKE4DHV,0.5298461088705263
591,487,[1535.892578125 963.751708984375 1992.148193359375 1324.536376953125],car,[1694.0087890625 1199.847412109375 1836.486328125 1246.2568359375],0.8761756420135498,EFODZT,0.562905590458135
592,22,[498.5836181640625 1038.065673828125 1028.693115234375 1435.657958984375],car,[687.4190063476562 1342.72265625 823.9070434570312 1384.46240234375],0.8785566091537476,AK64DHV,0.8020374638585224
592,487,[1535.7545166015625 966.1982421875 1993.94482421875 1327.8297119140625],car,[1692.814453125 1201.341796875 1841.85009765625 1247.400390625],0.8424069881439209,EF10DZT,0.4198351738430123
593,22,[496.65350341796875 1043.1590576171875 1027.0887451171875 1435.97802734375],car,[685.2167358398438 1346.783203125 826.0410766601562 1390.068359375],0.875118613243103,AK64DHV,0.49034090266953734
593,487,[1536.58154296875 969.4586791992188 1995.9552001953125 1333.6351318359375],car,[1698.71728515625 1210.34619140625 1838.52880859375 1252.41943359375],0.7486069202423096,EF10DZT,0.791615416615591
594,22,[492.8473205566406 1047.8515625 1026.098388671875 1436.6220703125],car,[678.8779296875 1352.17919921875 824.148193359375 1396.2236328125],0.8618027567863464,AK64DHV,0.6420536907911896
594,487,[1537.1456298828125 973.0736083984375 1996.98583984375 1338.478515625],car,[1697.18994140625 1215.92236328125 1839.89599609375 1259.8779296875],0.8029962778091431,EF10DZT,0.5028570823487675
595,22,[492.8213195800781 1050.66455078125 1026.5655517578125 1435.9488525390625],car,[679.2220458984375 1355.86767578125 824.9388427734375 1401.58740234375],0.8580188155174255,AK64DHV,0.664600871372728
595,487,[1537.470458984375 974.5232543945312 1997.3507080078125 1341.10546875],car,[1696.235595703125 1215.7376708984375 1839.852294921875 1260.0047607421875],0.8335288763046265,EF10DZT,0.5119816085169567
596,487,[1538.0606689453125 978.85693359375 1998.3509521484375 1345.4241943359375],car,[1698.93017578125 1222.6845703125 1841.3203125 1265.40869140625],0.8627260327339172,EF10DZT,0.6653569777386452
596,22,[489.5994567871094 1055.2381591796875 1025.6591796875 1436.6539306640625],car,[678.0844116210938 1364.1224365234375 819.4987182617188 1406.9637451171875],0.818933367729187,AK64DMV,0.6137484062374751
597,487,[1538.4840087890625 983.8464965820312 1999.507080078125 1350.0020751953125],car,[1701.629150390625 1226.557373046875 1843.021728515625 1272.127197265625],0.8537108302116394,EF10DZT,0.12885478969912434
597,22,[484.0528869628906 1057.8187255859375 1025.2841796875 1436.246826171875],car,[674.5435180664062 1371.189453125 816.0221557617188 1412.85546875],0.7819032073020935,AK64DHV,0.8202663683394652
598,487,[1538.441650390625 986.246826171875 1999.30615234375 1352.5447998046875],car,[1695.6409912109375 1228.5634765625 1843.0101318359375 1275.0302734375],0.8659660816192627,EF10DZT,0.15917214293764037
598,22,[481.8512268066406 1060.740478515625 1024.83837890625 1435.57763671875],car,[674.9276123046875 1373.7548828125 817.2681884765625 1416.41259765625],0.8559404015541077,AK64DHV,0.6438570923852269
