frame_nmr,car_id,car_bbox,car_class,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
11,2,[1449.29345703125 805.4777221679688 1894.3458251953125 1198.15380859375],car,[1614.2423095703125 1082.763427734375 1731.3682861328125 1123.175537109375],0.3585262894630432,HI51VSU,0.2953582815578406
12,1,[464.79449462890625 959.5626831054688 950.5791625976562 1393.627685546875],car,[604.99365234375 1248.33447265625 783.4730224609375 1293.62158203125],0.44815948605537415,NA13NRV,0.21216564863949572
13,1,[463.85235595703125 961.7529296875 950.3062744140625 1397.469970703125],car,[605.873291015625 1254.5621337890625 783.18603515625 1299.6876220703125],0.6139359474182129,NA13NRV,0.48860894180449876
14,1,[460.9349365234375 968.0659790039062 947.8900756835938 1403.4735107421875],car,[616.35595703125 1262.927001953125 784.040771484375 1303.405029296875],0.41961202025413513,NA13NRU,0.42402481304886486
15,2,[1450.76318359375 818.1480712890625 1898.6741943359375 1215.5152587890625],car,[1610.9033203125 1096.794189453125 1735.73583984375 1140.521240234375],0.558929979801178,MVSISU,0.11440682171089801
15,1,[456.7339782714844 973.8851318359375 945.7799072265625 1410.6744384765625],car,[592.715087890625 1268.4638671875 777.722900390625 1310.7373046875],0.44348886609077454,N4JNRU,0.11963079197803174
16,1,[454.8578796386719 977.8614501953125 944.4072875976562 1414.722412109375],car,[592.858642578125 1270.6405029296875 775.822998046875 1313.6673583984375],0.7338398098945618,NMJNRU,0.3455792781291483
17,1,[450.16888427734375 981.9901123046875 942.2385864257812 1420.7603759765625],car,[596.9971923828125 1276.2818603515625 781.5826416015625 1318.8079833984375],0.7698278427124023,NA13NRU,0.3928928709952752
17,2,[1451.3377685546875 823.6278076171875 1901.403564453125 1223.61181640625],car,[1616.1588134765625 1108.712890625 1737.3785400390625 1147.885986328125],0.44167134165763855,HN51VSU,0.2004831534043536
18,1,[447.22833251953125 986.3770141601562 940.2275390625 1425.6676025390625],car,[588.89794921875 1278.3206787109375 776.1416015625 1324.5120849609375],0.7298830151557922,NA13NRU,0.3173844283371284
18,2,[1451.2454833984375 827.1259155273438 1902.872314453125 1228.4239501953125],car,[1614.1593017578125 1114.1414794921875 1738.5303955078125 1154.8675537109375],0.44313594698905945,HI51VSV,0.018654894939868816
19,1,[445.26849365234375 990.6217651367188 938.7234497070312 1429.0198974609375],car,[588.6754760742188 1283.693359375 774.3442993164062 1328.69287109375],0.7348711490631104,MA13NRU,0.7720920577709257
19,2,[1451.33935546875 828.18115234375 1903.63232421875 1231.425537109375],car,[1617.6688232421875 1114.92236328125 1737.8348388671875 1155.721923828125],0.48279234766960144,HTSISU,0.10392900800235011
20,1,[442.2735290527344 993.096435546875 937.9158935546875 1431.1871337890625],car,[591.2242431640625 1293.001220703125 768.3541259765625 1339.6669921875],0.7947273850440979,NA13NRU,0.23426181827790088
21,2,[1451.5087890625 832.353515625 1908.0494384765625 1244.1307373046875],car,[1616.076171875 1122.142578125 1742.51611328125 1166.9990234375],0.6346797347068787,HI51VSU,0.07860040998790561
21,1,[439.303466796875 1000.0650634765625 936.2833251953125 1434.989990234375],car,[584.810302734375 1300.71875 768.19921875 1347.14892578125],0.6308103203773499,NA13NRU,0.6628250164456964
22,2,[1451.3214111328125 834.1905517578125 1909.026123046875 1247.2113037109375],car,[1617.00830078125 1124.41162109375 1742.738525390625 1170.24072265625],0.7526705861091614,NI51VSV,0.04172980221737914
